"1361
142１ N2,禅,Thiền,Tu thiền
音： ぜん,禅僧,ぜんそう,thiền sư
,禅師,ぜんじ,"thiền sư, cao tăng"
,禅堂,ぜんどう,thiền đường
,禅学,ぜんがく,thiền học
,座禅,ざぜん,"tọa thiền, ngồi thiền"
142２,禾,Bộ Hòa,
142３ N5,私,Tư,"Tôi, riêng tư"
訓,私,わたし,"tôi, danh xưng ngôi thứ nhất"
,私,わたくし,"tôi, cách nói khiêm nhường"
音： し,私立,しりつ,"tư lập, tư nhận lập ra"
,私有,しゆう,sở hữu mang tính tư nhân
,公私,こうし,công tư
142４ N3,秀,Tú,Ưu tú
訓,（に）秀でる,（に）ひいでる,"xuất sắc, vượt trội, nổi trội"
音： しゅう,秀歌,しゅうか,bài thơ hay
,秀作,しゅうさく,tuyệt tác
,秀才,しゅうさい,"người tài, người có học vấn,
chức danh :""Tú Tài"""
,優秀,ゆうしゅう,"ưu tú, tài giỏi, xuất sắc"
142５ N5,科,Khoa,"đạo diễn, huấn luyện viên,
quản đốc, giám sát viên"
音： か,科目,かもく,môn học
,科学,かがく,khoa học
,教科書,きょうかしょ,sách giáo khóa
,外科,げか,kho ngoại
,小児科,しょうにか,khoa nhi
"1426
N5",秋,Thu,Mùa thu
訓,秋,あき,mùa thu
音： しゅう,秋季,しゅうき,"mùa thu, tiết trời thu"
,中秋,ちゅうしゅう,"trung thu, tết trung thu"
,初秋,しょしゅう,đầu thu (はつあき）
,晩秋,ばんしゅう,cuối thu
"1427
N3",秒,Miễu,đv đếm giây
音： びょう,秒針,びょうしん,kim giây
,秒時計,びょうどけい,đồng hồ bấm giây
,何秒,なんびょう,mấy giây
,分秒,ふんびょう,"giây phút, thoáng chốc, phút chốc"
,寸秒,すんびょう,"thoáng chốc, khoang khắc"
"1428
N3",秘,Bí,Bí mật
訓,（を）秘める,（を）ひめる,"giấu giếm, che đậy, che giấu, giữ kín"
音： ひ,秘密,ひみつ,bí mật
,秘書,ひしょ,"thư ký, mật thư, tài liệu mật"
,秘策,ひさく,"đối sách, sách lược bí mật"
,神秘,しんぴ,"thần bí, bí ẩn"
"1429
N2",称,"Xưng, Xứng","chính trực, thành thực, ngay thẳng"
訓,（を）称える,（を）たたえる,"khen ngợi, đặt tên, gọi tên"
,（と）称する,（と）しょうする,"gọi tên, đặt tên, khen ngợi"
音： しょう,称号,しょうごう,"danh hiệu, chức danh"
,名称,めいしょう,"tên gọi, danh xưng"
,略称,りゃくしょう,"tên gọi tắt, tên được đọc ngắn lại"
,通称,つうしょう,tên thường gọi
"1430
N2",租,Tô,Tô thuế
音： そ,租税,そぜい,"tô thuế, thuế"
,租界,そかい,tô giới (1 vùng đất bị 1 thực thể khác quản lý)
