"４０１
,奇数,きすう,số lẻ
,奇跡,きせき,kỳ tích
,奇襲,きしゅう,tập kích bất ngờ
,好奇心,こうきしん,tò mò
"４５８
N2",奉,Phụng,Dâng hiến
訓,奉る,たてまつる,"mời, biếu, tôn trọng"
音： ほう,奉伺,ほうし,hỏi thăm
,奉献,ほうけん,"dâng, cúng lễ"
,奉納,ほうのう,"kính dâng, tế lễ"
,遵奉,じゅんぽう,tuân thủ
"４５９
N2",奔,Bôn,Chạy vội
音： ほん,奔放,ほんぽう,"phung phí, quá mức"
,奔走,ほんそう,"sự cố gắng, nổ lực"
,奔流,ほんりゅう,nước chảy xiết
,狂奔,きょうほん,chạy điên cuồng
,出奔,しゅっぽん,sự chạy trồn
"４６０
N2",奈,Nại,Thời đại Nara
訓,奈良,なら,tên địa danh
,,,
,,,
,,,
,,,
"４６１
N3",奏,Tấu,Chơi nhạc
訓,奏でる,かなでる,chơi nhạc cụ
音： そう,奏者,そうしゃ,nhạc công
,演奏,えんそう,biểu diễn
,協奏,きょうそう,hiệp tấu khúc
,合奏,がっそう,"hợp tấu, hòa nhạc"
"４６２
N3",契,Khế,Khế ước
訓,契る,ちぎる,thề ước
音： けい,契機,けいき,thời cơ
,契約,けいやく,khế ước
,,,
,,,
"４６３
N2",爽,Sảng,Sảng khoái
訓,爽やか,さわやか,sảng khoái
音： そう,爽快,そうかい,sảng khoái
,爽涼,そうりょう,sự làm mới lại
,,,
"４６４
N4",奥,Áo,Bên trong
訓,奥,おく,bên trong
音： おう,奧妙,おうみょう,huyền bí
,秘奥,ひおう,bí mật
,胸奥,きょうおう,chiều sâu trong tâm hồn
,,,
"４６５
N3",奨,Tưởng,Khen ngợi
音： しょう,奨学金,しょうがくきん,học bổng
,奨励,しょうれい,"động viên, khích lệ"
,推奨,すいしょう,"tán dương, ca ngợi"
,選奨,せんしょう,khuyến cáo
,勧奨,かんしょう,khuyến khích
"４６６
N2",奪,Đoạt,Tước đoạt
音,奪う,うばう,tước đoạt
音： だつ,略奪,りゃくだつ,"cướp phá, cướp bóc"
,奪回,だっかい,"lấy lại, tước đoạt"
,奪取,だっしゅ,"lấn chiếm, chiếm đoạt"
,奪還,だっかん,đoạt lại
"４６７
N2",奮,Phấn,Hăng hái
音,奮う,ふるう,"cổ vũ, phấn chấn"
音： ふん,奮起,ふんき,"kích thích, hứng khởi"
,奮闘,ふんとう,"đấu tranh, phấn đấu"
,奮発,ふんぱつ,"hào phóng, cố gắng"
,興奮,こうふん,"hưng phấn, hào hứng"
"４６８
N5",女,Nữ,Nữ giới
訓,女,おんな／め,con gái
音： じょ、にょ、にょう,彼女,かのじょ,cô ấy
,男女,だんじょ,nam nữ
,老若男女,ろうにゃくなんにょ,già trẻ trai gái
,女房,にょうぼう,vợ
"４６９
N2",奴,Nô,Nô lệ
音： ど,奴隷,どれい,"nô lệ , người hầu"
,農奴,のうど,nông nô
,,,
"４７０
N5",好,Hảo,Thích
訓,好（き／く）,す（き／く）,thích
,好む,このむ,"yêu thích, dễ thương"
,好ましい,このましい,"yêu thích, dễ thương"
音： こう,好意,こうい,hữu hảo
,好調,こうちょう,"hứa hẹn, trạng thái tốt"
,絶好,ぜっこう,tuyệt hảo
"４７１
N2",如,Như,Giống như
訓,如（く／き／し）,ごと（く／き／し）,"thích, giống như"
音： じょ、にょ,欠如,けつじょ,"sự thiếu, không đủ"
,突如,とつじょ,"đột ngột, đột nhiên"
,如意,にょい,như ý
,如実,にょじつ,"cái thật, cái đúng"
"４７２
N2",妃,Phi,Vương phi
音： ひ,王妃,おうひ,vương phi
,皇妃,こうひ,hoàng hậu
,妃殿下,ひでんか,công chúa
,,,
"４７３
N2",妄,Vọng,Vô chứng cứ
音： もう、ぼう,迷妄,めいもう,"ảo tưởng, ảo giác"
,妄想,もうそう,hư ảo
,妄説,もうせつ,"ảo tưởng, sai báo cáo"
,妄念,もうねん,làm xao nhãng
,妄用,ぼうよう,sử dụng tùy tiện
"４７４
N3",妙,Diệu,"Lạ, khéo, thần kỳ"
音： みょう,妙味,みょうみ,"thú vui, cái hay"
,奇妙,きみょう,điều kì diệu
,微妙,びみょう,nữa này nữa kia
,巧妙,こうみょう,khéo léo
,絶妙,ぜつみょう,sự tuyệt diệu
"４７５
N2",妨,Phương,Ngăn cản
訓,妨げる,さまたげる,"gây cản trở, ảnh hưởng"
音： ぼう,妨害,ぼうがい,"phương hại, cản trở"
"４７６
N2",妥,Thỏa,Bằng lòng
音： だ,妥当,だとう,"hợp lí, đúng đắn"
,妥結,だけつ,thỏa thuận
"４７７
N2",妊,Nhâm,Có thai
音： にん,妊娠,にんしん,bụng phê
,妊婦,にんぷ,người mang thai
,避妊,ひにん,tránh thai
,不妊,ふにん,vô sinh
,懐妊,かいにん,mang thai
"４７８
N2",妖,Yêu,Yêu tinh
訓,妖しい,あやしい,đáng nghi ngờ
音： よう,妖異,ようい,sự kiện huyền bí
,妖精,ようせい,yêu tinh
,妖怪,ようかい,"quái vật, yêu quái"
,妖艶,ようえん,"làm mê, say mê"
"４７９
N5",姉,Tỷ,Chị gái
訓,姉,あね,chị gái
,お姉さん,おねえさん,chị gái
音： し,姉妹,しまい,chị em
,義姉,ぎし,chị kết nghĩa
,実姉,じっし,chị ruột
,令姉,れいし,chị gái (kính ngữ)
"４８０
N5",妹,Muội,Em gái
訓,妹,いもうと,em gái
音： まい,義妹,ぎまい,em kết nghĩa
,実妹,じつまい,em ruột
,弟妹,ていまい,em trai em gái
,従妹,じゅうまい,em họ
