,淑徳,しゅくとく,thục đức
,私淑,ししゅく,sự tự học
,貞淑,ていしゅく,sự hiền thục
"１１７８
N2",渉,Thiệp,Giao thiệp
音： しょう,渉外,しょうがい,mối quan hệ xã hội
,交渉,こうしょう,sự đàm phán
,,,
"１１７９
N5",涼,Lương,Mát mẻ
訓,涼しい,すずしい,mát mẻ
,（で）涼む,（で）すずむ,việc tránh nóng
音： りょう,涼味,りょうみ,cảm giác mát mẻ
,涼風,りょうふう,gió mát
,清涼,せいりょう,"sự mát mẻ, mát lạnh, sảng khoái"
"１１８０
N2",淫,Dâm,Dâm tục
訓,淫ら,みだら,"tục tĩu, dâm dục, không đứng đắn"
音： いん,淫欲,いんよく,tà dâm
,淫風,いんぷう,hành vi đồi bại
,荒淫,こういん,"sự trác táng, trụy lạc"
,,,
"１１８１
N5",温,Ôn,"Ôn hòa, ấm"
訓,温かい,あたたかい,ấm
,暖か（な）,あたたか（な）,ấm áp
,（を）温める,（を）あたためる,"làm nóng, hâm nóng"
,（が）温まる,（が）あたたまる,được làm ấm
音： おん,適温,てきおん,nhiệt độ thích hợp
"１１８２
N4",湖,Hồ,Cái hồ
訓,湖,みずうみ,cái hồ
音： こ,湖沼,こしょう,"ao, đầm, hồ"
,湖岸,こがん,bờ hồ
,湖底,こてい,đáy hồ
,湖面,こめん,mặt hồ
"１１８３
N5",港,Cảng,Bến tàu
訓,港,みなと,"bến tàu, cảng"
音： こう,寄港,きこう,cảng ghé
,空港,くうこう,sân bay
,開港,かいこう,việc mở cảng/sân bay mới
,出港,しゅっこう,thuyền rời bến
"１１８４
N4",湯,Thang,Nước nóng
訓,（お）湯,（お）ゆ,nước nóng
音： とう,湯治,とうじ,việc tắm suối nước nóng trị liệu
,熱湯,ねっとう,nước sôi
,給湯,きゅうとう,việc cung cấp nước nóng
,銭湯,せんとう,kiểu nhà tắm công cộng
"１１８５
N3",満,Mãn,"Đầy, mãn nguyện"
訓,（を）満たす,（を）みたす,"làm thỏa mãn, làm đầy"
,（が）満ちる,（が）みちる,"đầy, tràn đầy"
音： まん,満点,まんてん,điểm tròn
,不満,ふまん,sự bất mãn
,未満,みまん,chưa đủ
"１１８６
N4",減,Giảm,Giảm xuống
訓,（を）減らす,（を）へらす,làm giảm
,（が）減る,（が）へる,giảm xuống
音： げん,減益,げんえき,sự giảm lợi nhuận
,減点,げんてん,việc giảm điểm
,減速,げんそく,việc giảm tốc độ
"１１８７
N4",測,Trắc,Đo lường
訓,（を）測る,（を）はかる,đo lường
音： そく,測定,そくてい,việc đo đạc
,予測,よそく,sự dự đoán
,憶測,おくそく,"sự suy đoán, sự ước chừng"
,観測,かんそく,sự đo đạc
"１１８８
N4",渡,Độ,Băng qua
訓,（を）渡る,（を）わたる,băng qua
,（を）渡す,（を）わたす,"trao cho, đưa cho"
音： と,渡来,とらい,sự du nhập
,過渡,かと,"sự quá độ,
sự chuyển đổi từ cũ sang mới"
,譲渡,じょうと,"việc chuyển giao, chuyển nhượng"
