"1441
"1514
N5",終,Chung,Chấm dứt
訓,（を）終える,（を）おえる,"chấm dứt, hoàn thành"
,（が）終わる,（が）おわる,"kết thúc, chấm dứt"
音： しゅう,終結,しゅうけつ,"chung kết, kết thúc, xong"
,終了,しゅうりょう,"kết thúc, xong, hoàn thành"
,終点,しゅうてん,trạm / ga cuối
"1515
N5",経,Kinh,"Kinh tế, trải qua"
訓,（を）経る,（を）へる,trải qua
,（が）経つ,（が）たつ,(thời gian) trôi qua
音： けい、きょう,経験,けいけん,kinh nghiệm
,経理,けいり,công việc kế toán
,経典,きょうてん,"kinh thư, kinh phật, kinh thánh"
"1516
N5",紹,Thiệu,Giới thiệu
音： しょう,紹介,しょうかい,giới thiệu
"1517
N2",紺,Cam,Màu xanh đậm
訓,紺色,こんいろ,màu xanh đậm
"1518
N2",紳,Thân,"ganh đua, cạnh tranh, trả giá,
đấu giá"
音： しん,紳士,しんし,quý ông
,紳商,しんしょう,thương gia
,,,
,貴紳,きしん,quý ông
,田紳,でんしん,quý ông quê mùa
"1519
N2",累,Lũy,Tích lũy
音： るい,累加,るいか,"thêm dần vào, tăng dần lên"
,累積,るいせき,tích lũy
,累計,るいけい,"lũy kế, cộng dồn"
,累進,るいしん,lũy tiến (tăng dần theo tỷ lệ)
,累増,るいぞう,tăng dần
"1520
N4",絵,Hội,"Bức tranh, hội họa"
訓,絵,え,bức tranh
音： かい,絵画,かいが,"tranh, hội họa, bức vẽ"
